35.000	1.170
35.100	1.168
35.200	1.166
35.300	1.165
35.400	1.163
35.500	1.161
35.600	1.159
35.700	1.157
35.800	1.156
35.900	1.154
36.000	1.152
36.100	1.150
36.200	1.148
36.300	1.147
36.400	1.145
36.500	1.143
36.600	1.141
36.700	1.139
36.800	1.138
36.900	1.136
37.000	1.134
37.100	1.132
37.200	1.130
37.300	1.129
37.400	1.127
37.500	1.125
37.600	1.123
37.700	1.121
37.800	1.120
37.900	1.118
38.000	1.116
38.100	1.114
38.200	1.112
38.300	1.111
38.400	1.109
38.500	1.107
38.600	1.105
38.700	1.103
38.800	1.102
38.900	1.100
39.000	1.098
39.100	1.096
39.200	1.094
39.300	1.093
39.400	1.091
39.500	1.089
39.600	1.087
39.700	1.085
39.800	1.084
39.900	1.082
40.000	1.080
40.100	1.078
40.200	1.076
40.300	1.075
40.400	1.073
40.500	1.071
40.600	1.069
40.700	1.067
40.800	1.066
40.900	1.064
41.000	1.062
41.100	1.060
41.200	1.058
41.300	1.057
41.400	1.055
41.500	1.053
41.600	1.051
41.700	1.049
41.800	1.048
41.900	1.046
42.000	1.044
42.100	1.042
42.200	1.040
42.300	1.039
42.400	1.037
42.500	1.035
42.600	1.033
42.700	1.031
42.800	1.030
42.900	1.028
43.000	1.026
43.100	1.024
43.200	1.022
43.300	1.021
43.400	1.019
43.500	1.017
43.600	1.015
43.700	1.013
43.800	1.012
43.900	1.010
44.000	1.008
44.100	1.006
44.200	1.004
44.300	1.003
44.400	1.001
44.500	0.999
44.600	0.997
44.700	0.995
44.800	0.994
44.900	0.992
45.000	0.990
45.100	0.988
45.200	0.986
45.300	0.985
45.400	0.983
45.500	0.981
45.600	0.979
45.700	0.977
45.800	0.976
45.900	0.974
46.000	0.972
46.100	0.970
46.200	0.968
46.300	0.967
46.400	0.965
46.500	0.963
46.600	0.961
46.700	0.959
46.800	0.958
46.900	0.956
47.000	0.954
47.100	0.952
47.200	0.950
47.300	0.949
47.400	0.947
47.500	0.945
47.600	0.943
47.700	0.941
47.800	0.940
47.900	0.938
48.000	0.936
48.100	0.934
48.200	0.932
48.300	0.931
48.400	0.929
48.500	0.927
48.600	0.925
48.700	0.923
48.800	0.922
48.900	0.920
49.000	0.918
49.100	0.916
49.200	0.914
49.300	0.913
49.400	0.911
49.500	0.909
49.600	0.907
49.700	0.905
49.800	0.904
49.900	0.902
50.000	0.900
50.100	0.898
50.200	0.896
50.300	0.895
50.400	0.893
50.500	0.891
50.600	0.889
50.700	0.887
50.800	0.886
