35.000,0.630
35.100,0.632
35.200,0.634
35.300,0.635
35.400,0.637
35.500,0.639
35.600,0.641
35.700,0.643
35.800,0.644
35.900,0.646
36.000,0.648
36.100,0.650
36.200,0.652
36.300,0.653
36.400,0.655
36.500,0.657
36.600,0.659
36.700,0.661
36.800,0.662
36.900,0.664
37.000,0.666
37.100,0.668
37.200,0.670
37.300,0.671
37.400,0.673
37.500,0.675
37.600,0.677
37.700,0.679
37.800,0.680
37.900,0.682
38.000,0.684
38.100,0.686
38.200,0.688
38.300,0.689
38.400,0.691
38.500,0.693
38.600,0.695
38.700,0.697
38.800,0.698
38.900,0.700
39.000,0.702
39.100,0.704
39.200,0.706
39.300,0.707
39.400,0.709
39.500,0.711
39.600,0.713
39.700,0.715
39.800,0.716
39.900,0.718
40.000,0.720
40.100,0.722
40.200,0.724
40.300,0.725
40.400,0.727
40.500,0.729
40.600,0.731
40.700,0.733
40.800,0.734
40.900,0.736
41.000,0.738
41.100,0.740
41.200,0.742
41.300,0.743
41.400,0.745
41.500,0.747
41.600,0.749
41.700,0.751
41.800,0.752
41.900,0.754
42.000,0.756
42.100,0.758
42.200,0.760
42.300,0.761
42.400,0.763
42.500,0.765
42.600,0.767
42.700,0.769
42.800,0.770
42.900,0.772
43.000,0.774
43.100,0.776
43.200,0.778
43.300,0.779
43.400,0.781
43.500,0.783
43.600,0.785
43.700,0.787
43.800,0.788
43.900,0.790
44.000,0.792
44.100,0.794
44.200,0.796
44.300,0.797
44.400,0.799
44.500,0.801
44.600,0.803
44.700,0.805
44.800,0.806
44.900,0.808
45.000,0.810
45.100,0.812
45.200,0.814
45.300,0.815
45.400,0.817
45.500,0.819
45.600,0.821
45.700,0.823
45.800,0.824
45.900,0.826
46.000,0.828
46.100,0.830
46.200,0.832
46.300,0.833
46.400,0.835
46.500,0.837
46.600,0.839
46.700,0.841
46.800,0.842
46.900,0.844
47.000,0.846
47.100,0.848
47.200,0.850
47.300,0.851
47.400,0.853
47.500,0.855
47.600,0.857
47.700,0.859
47.800,0.860
47.900,0.862
48.000,0.864
48.100,0.866
48.200,0.868
48.300,0.869
48.400,0.871
48.500,0.873
48.600,0.875
48.700,0.877
48.800,0.878
48.900,0.880
49.000,0.882
49.100,0.884
49.200,0.886
49.300,0.887
49.400,0.889
49.500,0.891
49.600,0.893
49.700,0.895
49.800,0.896
49.900,0.898
50.000,0.900
50.100,0.902
50.200,0.904
50.300,0.905
50.400,0.907
50.500,0.909
50.600,0.911
50.700,0.913
50.800,0.914
50.900,0.916
51.000,0.918
51.100,0.920
51.200,0.922
51.300,0.923
51.400,0.925
51.500,0.927
51.600,0.929
51.700,0.931
51.800,0.932
51.900,0.934
52.000,0.936
52.100,0.938
52.200,0.940
52.300,0.941
52.400,0.943
52.500,0.945
52.600,0.947
52.700,0.949
52.800,0.950
52.900,0.952
53.000,0.954
53.100,0.956
53.200,0.958
53.300,0.959
53.400,0.961
53.500,0.963
53.600,0.965
53.700,0.967
53.800,0.968
53.900,0.970
54.000,0.972
54.100,0.974
54.200,0.976
54.300,0.977
54.400,0.979
54.500,0.981
54.600,0.983
54.700,0.985
54.800,0.986
54.900,0.988
55.000,0.990
55.100,0.992
55.200,0.994
55.300,0.995
55.400,0.997
55.500,0.999
55.600,1.001
55.700,1.003
55.800,1.004
55.900,1.006
56.000,1.008
56.100,1.010
56.200,1.012
56.300,1.013
56.400,1.015
56.500,1.017
56.600,1.019
56.700,1.021
56.800,1.022
56.900,1.024
57.000,1.026
57.100,1.028
57.200,1.030
57.300,1.031
57.400,1.033
57.500,1.035
57.600,1.037
57.700,1.039
57.800,1.040
57.900,1.042
58.000,1.044
58.100,1.046
58.200,1.048
58.300,1.049
58.400,1.051
58.500,1.053
58.600,1.055
58.700,1.057
58.800,1.058
58.900,1.060
59.000,1.062
59.100,1.064
59.200,1.066
59.300,1.067
59.400,1.069
59.500,1.071
59.600,1.073
59.700,1.075
59.800,1.076
59.900,1.078
60.000,1.080
60.100,1.082
60.200,1.084
60.300,1.085
60.400,1.087
60.500,1.089
60.600,1.091
60.700,1.093
60.800,1.094
60.900,1.096
61.000,1.098
61.100,1.100
61.200,1.102
61.300,1.103
61.400,1.105
61.500,1.107
61.600,1.109
61.700,1.111
61.800,1.112
61.900,1.114
62.000,1.116
62.100,1.118
62.200,1.120
62.300,1.121
62.400,1.123
62.500,1.125
62.600,1.127
62.700,1.129
62.800,1.130
62.900,1.132
63.000,1.134
63.100,1.136
63.200,1.138
63.300,1.139
63.400,1.141
63.500,1.143
63.600,1.145
63.700,1.147
63.800,1.148
63.900,1.150
64.000,1.152
64.100,1.154
64.200,1.156
64.300,1.157
64.400,1.159
64.500,1.161
64.600,1.163
64.700,1.165
64.800,1.166
64.900,1.168
65.000,1.170
65.100,1.172
65.200,1.174
65.300,1.175
65.400,1.177
65.500,1.179
65.600,1.181
65.700,1.183
65.800,1.184
65.900,1.186
66.000,1.188
66.100,1.190
66.200,1.192
66.300,1.193
66.400,1.195
66.500,1.197
66.600,1.199
66.700,1.201
66.800,1.202
66.900,1.204
67.000,1.206
67.100,1.208
67.200,1.210
67.300,1.211
67.400,1.213
67.500,1.215
67.600,1.217
67.700,1.219
67.800,1.220
67.900,1.222
68.000,1.224
68.100,1.226
68.200,1.228
68.300,1.229
68.400,1.231
68.500,1.233
68.600,1.235
68.700,1.237
68.800,1.238
68.900,1.240
69.000,1.242
69.100,1.244
69.200,1.246
69.300,1.247
69.400,1.249
69.500,1.251
69.600,1.253
69.700,1.255
69.800,1.256
69.900,1.258
70.000,1.260
70.100,1.262
70.200,1.264
70.300,1.265
70.400,1.267
70.500,1.269
70.600,1.271
70.700,1.273
70.800,1.274
70.900,1.276
71.000,1.278
71.100,1.280
71.200,1.282
71.300,1.283
71.400,1.285
71.500,1.287
71.600,1.289
71.700,1.291
71.800,1.292
71.900,1.294
72.000,1.296
72.100,1.298
72.200,1.300
72.300,1.301
72.400,1.303
72.500,1.305
72.600,1.307
72.700,1.309
72.800,1.310
72.900,1.312
73.000,1.314
73.100,1.316
73.200,1.318
73.300,1.319
73.400,1.321
73.500,1.323
73.600,1.325
73.700,1.327
73.800,1.328
73.900,1.330
74.000,1.332
74.100,1.334
74.200,1.336
74.300,1.337
74.400,1.339
74.500,1.341
74.600,1.343
74.700,1.345
74.800,1.346
74.900,1.348
75.000,1.350
75.100,1.352
75.200,1.354
75.300,1.355
75.400,1.357
75.500,1.359
75.600,1.361
75.700,1.363
75.800,1.364
75.900,1.366
76.000,1.368
76.100,1.370
76.200,1.372
76.300,1.373
76.400,1.375
76.500,1.377
76.600,1.379
76.700,1.381
76.800,1.382
76.900,1.384
77.000,1.386
77.100,1.388
77.200,1.390
77.300,1.391
77.400,1.393
77.500,1.395
77.600,1.397
77.700,1.399
77.800,1.400
77.900,1.402
78.000,1.404
78.100,1.406
78.200,1.408
78.300,1.409
78.400,1.411
78.500,1.413
78.600,1.415
78.700,1.417
78.800,1.418
78.900,1.420
79.000,1.422
79.100,1.424
79.200,1.426
79.300,1.427
79.400,1.429
79.500,1.431
79.600,1.433
79.700,1.435
79.800,1.436
79.900,1.438
80.000,1.440
80.100,1.442
80.200,1.444
80.300,1.445
80.400,1.447
80.500,1.449
80.600,1.451
80.700,1.453
80.800,1.454
80.900,1.456
81.000,1.458
81.100,1.460
81.200,1.462
81.300,1.463
81.400,1.465
81.500,1.467
81.600,1.469
81.700,1.471
81.800,1.472
81.900,1.474
82.000,1.476
82.100,1.478
82.200,1.480
82.300,1.481
82.400,1.483
82.500,1.485
82.600,1.487
82.700,1.489
82.800,1.490
82.900,1.492
83.000,1.494
83.100,1.496
83.200,1.498
83.300,1.499
83.400,1.501
83.500,1.503
83.600,1.505
83.700,1.507
83.800,1.508
83.900,1.510
84.000,1.512
84.100,1.514
84.200,1.516
84.300,1.517
84.400,1.519
84.500,1.521
84.600,1.523
84.700,1.525
84.800,1.526
84.900,1.528
